,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,4526779165,Afternoon Hike,2020-12-27T14:45:05Z,Hike,6301.4,4830,5017,69.6,"[39.60758, -76.15944]",A4EBA2BB-2C0A-42C1-9257-104494B6BA36-activity.fit
1,4526066894,0 lbs,2020-12-27T12:56:36Z,Hike,1.4,0,75,0.0,"[39.604713, -76.167409]",1B54306D-B243-4E83-B09F-BE32B9CE9993-activity.fit
2,4526066990,Afternoon Hike,2020-12-26T14:28:49Z,Hike,4549.0,3494,4084,25.5,"[39.604369, -76.161476]",C782AA69-91E7-4D1A-8DE0-8B2FF29D012F-activity.fit
3,4517271970,Afternoon Hike,2020-12-25T16:51:03Z,Hike,3339.8,2376,2396,29.0,"[39.604673, -76.167392]",B7A75753-9BA5-4F2C-9C92-857FD8ED5EA8-activity.fit
4,4509966774,Afternoon Hike,2020-12-23T16:48:16Z,Hike,2261.4,1671,1778,23.2,"[39.604635, -76.167414]",5F400B7E-6651-46E5-A952-82082BB4A065-activity.fit
5,4509229643,Lunch Hike,2020-12-23T11:46:39Z,Hike,6716.8,5105,5666,107.8,"[39.604722, -76.16734]",5892AA14-42D0-4982-8E3B-EAEBAF0647C8-activity.fit
6,4505905349,Afternoon Hike,2020-12-22T14:41:05Z,Hike,5282.9,3893,3926,63.1,"[39.604663, -76.167451]",FB19134A-6E9B-484B-B784-D41B35ECE9F0-activity.fit
7,4501698645,Afternoon Hike,2020-12-21T15:20:42Z,Hike,6612.1,5551,5596,131.3,"[39.604693, -76.167348]",D068AFB5-CA38-4B09-87E2-A833F6A1F2C2-activity.fit
8,4497959201,Afternoon Hike,2020-12-20T15:11:25Z,Hike,3541.8,2614,2650,33.3,"[39.605021, -76.167496]",452910EE-B7D0-44AE-A7BD-442DB0C4FDBF-activity.fit
9,4497576238,Lunch Hike,2020-12-20T12:17:45Z,Hike,6796.5,5780,6189,133.9,"[39.604922, -76.167194]",EAAFB7C2-0E29-443A-BC4B-EB5BB4CF014F-activity.fit
10,4493185948,Afternoon Hike,2020-12-19T17:11:49Z,Hike,2618.4,2274,2295,49.6,"[39.604688, -76.167181]",5FCE1D88-8442-47DB-A603-7E1E8DFA511B-activity.fit
11,4493185988,Afternoon Hike,2020-12-19T14:31:04Z,Hike,5502.6,4600,4957,61.3,"[39.604764, -76.167451]",D2C0BA50-E189-463A-940F-1D293618F68D-activity.fit
12,4488539820,Afternoon Hike,2020-12-18T15:21:32Z,Hike,6911.4,5532,5824,74.3,"[39.604756, -76.167394]",5DE7BEA6-4346-46DF-BE04-3709525BBDFF-activity.fit
13,4472903097,Afternoon Hike,2020-12-14T16:33:34Z,Hike,3364.1,2284,2284,29.3,"[39.604661, -76.167403]",4DBE1C6B-BC64-4707-9F6B-E7FA74D96E08-activity.fit
14,4472903164,Lunch Hike,2020-12-13T12:58:55Z,Hike,7452.9,5784,6358,134.7,"[39.60484, -76.167331]",A0D852F4-8131-4634-B885-D7A7552068B8-activity.fit
15,4455576802,Afternoon Hike,2020-12-10T13:27:58Z,Hike,5394.6,4030,4099,63.5,"[39.604674, -76.167396]",5DE63D01-0C4F-4076-84B7-8E225655A09A-activity.fit
16,4452141482,Afternoon Hike,2020-12-09T16:31:37Z,Hike,3957.7,3125,3831,71.0,"[39.604731, -76.167445]",66071504-0EE0-48C1-9C18-4E0DF453BCE5-activity.fit
17,4451537889,Afternoon Hike,2020-12-09T13:57:43Z,Hike,3782.2,2601,2774,43.4,"[39.60471, -76.167473]",D0B0EFA1-6BA7-40F2-97C8-D57F5F9DD5D7-activity.fit
18,4434326472,Afternoon Ride,2020-12-05T14:29:36Z,Ride,8535.0,1802,1810,116.3,"[39.604653, -76.167511]",21582E53-2766-4BD6-8A59-7B3361220532-activity.fit
19,4386325084,Afternoon Walk,2020-11-24T15:51:11Z,Walk,7267.5,5436,5552,137.7,"[39.604579, -76.167422]",B314D661-47EC-4B12-88E9-77055DE754AF-activity.fit
20,4381568721,Afternoon Walk,2020-11-23T15:32:20Z,Walk,7073.1,5385,5673,144.5,"[39.604767, -76.167387]",F6ED7C5C-0E27-4448-BDCB-965828D7EF4D-activity.fit
21,4370172331,Morning Walk,2020-11-21T08:55:49Z,Walk,9303.4,6532,8090,120.1,"[39.534951, -76.351799]",9E3F6B6C-0446-4152-953E-E0B1D2366F25-activity.fit
22,4366110005,Afternoon Walk,2020-11-20T15:31:07Z,Walk,1216.1,954,1003,27.8,"[39.607641, -76.159443]",AB6E0F3E-EBF4-4267-81A3-3EF5D09F0773-activity.fit
23,4366060280,Afternoon Run,2020-11-20T15:06:48Z,Run,3587.2,1326,1395,75.3,"[39.607616, -76.159406]",F2632065-EC08-4CCD-AF93-00B173C09191-activity.fit
24,4348062912,Afternoon Walk,2020-11-16T13:39:46Z,Walk,1693.4,1211,12922,14.9,"[39.60473, -76.167431]",9D24C728-A65F-4F6F-BADF-CFF20FDAFCE6-activity.fit
25,4343449025,Lunch Ride,2020-11-15T12:22:51Z,Ride,23304.0,5003,5405,247.1,"[39.604686, -76.167595]",9F8EC313-418B-416C-B4CD-2551F82F041E-activity.fit
26,4328828172,Afternoon Walk,2020-11-12T14:27:10Z,Walk,3565.6,3164,3335,75.9,"[39.607609, -76.159402]",64AB3DC8-2909-4460-8557-766640D0BBD6-activity.fit
27,4319322893,Afternoon Walk,2020-11-10T14:51:39Z,Walk,3547.2,3048,3048,75.7,"[39.607608, -76.159455]",3803980C-8207-42D0-BAF2-BE32AFE40A24-activity.fit
28,4314515063,Afternoon Hike,2020-11-09T15:47:04Z,Hike,1114.7,502,502,4.7,"[39.607604, -76.159439]",3981DACC-EA9B-41D4-9619-570D558364C4-activity.fit
29,4310598404,Afternoon Hike,2020-11-08T16:00:20Z,Hike,7770.1,6337,6530,110.0,"[39.60466, -76.167508]",7637CB24-CDA8-4AFB-8AF3-D10871989170-activity.fit
30,4298655371,Afternoon Walk,2020-11-06T15:00:33Z,Walk,3200.9,2427,2445,53.5,"[39.607709, -76.159538]",9EDB77BB-23B6-4DFF-B71A-F8D15F141089-activity.fit
31,4291739973,Afternoon Walk,2020-11-05T15:22:11Z,Walk,7887.0,5756,5920,151.3,"[39.604647, -76.167499]",07FE0555-8747-4D88-84A8-BFC2777283C3-activity.fit
32,4282578479,Afternoon Walk,2020-11-03T16:07:42Z,Walk,5956.5,4602,4662,95.3,"[39.607583, -76.159493]",C840A8A3-14C4-4DAC-8E20-C2A9D4ACFF96-activity.fit
33,4277478196,Afternoon Ride,2020-11-02T14:11:00Z,Ride,14760.0,2916,3046,117.5,"[39.512064, -76.162599]",8577B8BA-E92A-4D77-9FB2-BAF15CA97AC6-activity.fit
34,4273728157,Afternoon Walk,2020-11-01T15:45:01Z,Walk,5659.3,4982,5053,108.7,"[39.604656, -76.167404]",90D17772-FC1E-4262-AFBF-880142DBC736-activity.fit
35,4268288170,Afternoon Hike,2020-10-31T13:43:06Z,Hike,8487.3,6496,6527,184.8,"[39.607629, -76.159398]",4CA0401D-1E75-4886-A0C9-BEDBF47CC376-activity.fit
36,4263941330,Afternoon Walk,2020-10-30T17:39:17Z,Walk,1885.3,1140,3518,12.8,"[39.60473, -76.167403]",FAAC7217-6CA2-4F78-BE97-82CF255F133C-activity.fit
37,4263778790,Afternoon Walk,2020-10-29T17:26:49Z,Walk,3835.6,2720,87113,49.7,"[39.60475, -76.167416]",687D5660-6FFB-4C99-858B-BE44F2AE5B99-activity.fit
38,4256289220,Afternoon Walk,2020-10-28T17:41:46Z,Walk,3993.1,2965,2965,45.3,"[39.607627, -76.15941]",E58E1C83-7E73-4EB9-9A27-261837DEB8FF-activity.fit
39,4256114552,Afternoon Ride,2020-10-28T17:35:45Z,Ride,1102.8,306,340,15.7,"[39.607703, -76.159587]",3C0DC186-7B20-4CDB-8F87-9F74AF2B0573-activity.fit
40,4247709198,Afternoon Ride,2020-10-26T15:51:20Z,Ride,31314.1,6461,8471,314.6,"[39.604991, -76.167394]",05F0572B-1566-403F-AE0B-2BDD29D6AFBC-activity.fit
41,4243701368,Afternoon Ride,2020-10-25T14:02:40Z,Ride,31047.4,6866,7586,303.3,"[39.604728, -76.167471]",7FF78815-6736-4CCF-B989-631542BCB478-activity.fit
42,4243280453,Afternoon Ride,2020-10-25T13:55:39Z,Ride,503.0,170,208,6.7,"[39.604687, -76.167551]",F6765D2E-9263-4284-97AE-39B66D4DFF6C-activity.fit
43,4230617856,Afternoon Hike,2020-10-22T17:42:04Z,Hike,3846.7,2949,3260,53.4,"[39.607634, -76.15941]",08985BCC-05D1-4DF5-8D4D-263248757321-activity.fit
44,4230439663,Afternoon Ride,2020-10-22T17:34:13Z,Ride,1202.0,444,453,15.0,"[39.607808, -76.159647]",C566366C-25D1-455D-857B-0F479E015049-activity.fit
45,4230052519,Afternoon Walk,2020-10-22T14:41:28Z,Walk,5373.2,2752,2775,65.4,"[39.604552, -76.167423]",8BAF207E-692F-4ECA-8B92-7D35C1321B03-activity.fit
46,4217662478,Afternoon Run,2020-10-19T17:57:11Z,Run,2248.7,870,876,32.9,"[39.607617, -76.159432]",4BFA7840-9C02-4FDA-AF6D-9AAC3DD7F73F-activity.fit
47,4217616898,Afternoon Ride,2020-10-19T17:51:27Z,Ride,1099.5,266,284,15.2,"[39.607663, -76.159509]",DEBF3231-10F7-4278-BEE0-F76E430494F5-activity.fit
48,4213594075,Afternoon Ride,2020-10-18T13:42:17Z,Ride,48621.0,10066,10599,369.1,"[39.604623, -76.167552]",8AF92805-EB66-4FF4-96A1-78B0E231BD94-activity.fit
49,4208543735,Afternoon Walk,2020-10-17T17:34:47Z,Walk,1897.1,1580,1949,12.8,"[39.604802, -76.167388]",D9EF6275-4267-47A1-A3A2-557533E5DEE6-activity.fit
50,4203948124,Evening Walk,2020-10-16T18:01:26Z,Walk,3417.9,2707,2761,25.0,"[39.604844, -76.167528]",98E7C59B-1234-46E1-AD68-40A071ECE44A-activity.fit
51,4199943535,Afternoon Run,2020-10-15T17:03:23Z,Run,3275.2,1219,1223,0.0,"[39.626298, -76.159137]",162C611D-3DA6-4DAE-95B8-A94F34448F20-activity.fit
52,4199881346,Afternoon Run,2020-10-15T16:54:53Z,Run,681.2,452,489,0.0,"[39.626498, -76.159022]",1D5EE51D-DECA-4739-A851-7AA08E47A1CC-activity.fit
53,4199856185,Afternoon Ride,2020-10-15T16:40:48Z,Ride,4132.9,750,819,15.4,"[39.623351, -76.164532]",9C5ED631-3B67-421C-89DD-2B995686E183-activity.fit
54,4196168882,Afternoon Hike,2020-10-14T17:55:36Z,Hike,6520.1,3763,3959,111.4,"[39.604488, -76.1674]",2FE40AA9-53CF-48B1-8E8F-CBD3CA54D404-activity.fit
55,4191349406,Afternoon Ride,2020-10-13T16:10:41Z,Ride,23353.8,4716,4719,218.6,"[39.604751, -76.167426]",42630F63-3E46-48EA-AAA8-D8E0CDF46DC9-activity.fit
56,4165291219,Afternoon Hike,2020-10-07T16:47:21Z,Hike,5633.6,4560,4889,104.7,"[39.60755, -76.15927]",F0351FB2-24F1-440A-AF26-BF45EFE8385D-activity.fit
57,4160949709,Evening Walk,2020-10-06T18:13:31Z,Walk,4441.1,3143,3143,73.8,"[39.604651, -76.167522]",58982B4F-F280-4C46-9163-149490E2BFF6-activity.fit
58,4156369873,Evening Walk,2020-10-05T18:02:32Z,Walk,3548.8,2547,3632,20.4,"[39.60474, -76.167416]",10F93536-B3BE-4DD3-BC31-D828941DEF35-activity.fit
